"id","created","reporting_user_id","reported_user_id","reason_id","comment","id","localizable_string_name"
374672,"2017-04-19 11:33:50.297595",2602100,3323023,2,"",2,"ReportReason_2"
374832,"2017-04-19 18:13:41.481525",2229114,3323023,2,"",2,"ReportReason_2"
374941,"2017-04-19 20:25:56.648188",2397497,3323023,2,"",2,"ReportReason_2"
375033,"2017-04-19 22:47:01.014692",3222464,3323023,2,"",2,"ReportReason_2"
375274,"2017-04-20 12:50:29.382209",2866266,3323023,2,"",2,"ReportReason_2"
375569,"2017-04-21 02:19:28.629068",2180477,3323023,2,"",2,"ReportReason_2"
237737,"2016-07-19 17:28:34.674926",551462,2473678,2,"",2,"ReportReason_2"
371065,"2017-04-10 14:23:05.354832",847742,2904341,2,"",2,"ReportReason_2"
313389,"2016-11-16 08:19:09.527937",2825237,2670517,6,"repetitive",6,"ReportReason_6"
330174,"2016-12-23 02:41:06.673308",2767460,2968624,2,"",2,"ReportReason_2"
375318,"2017-04-20 15:14:34.103678",2356900,3324522,2,"",2,"ReportReason_2"
375354,"2017-04-20 16:54:14.05496",2829188,3324522,5,"",5,"ReportReason_5"
314487,"2016-11-18 06:50:43.707889",768199,2810589,4,"",4,"ReportReason_4"
375851,"2017-04-21 12:40:03.116255",2318528,3326290,2,"",2,"ReportReason_2"
350893,"2017-02-06 23:57:08.400319",2554856,3108995,4,"",4,"ReportReason_4"
350983,"2017-02-07 03:27:44.332025",3094413,3108995,4,"",4,"ReportReason_4"
350965,"2017-02-07 02:56:23.86556",816321,3108995,4,"",4,"ReportReason_4"
350905,"2017-02-07 00:12:22.54516",233143,3108995,4,"",4,"ReportReason_4"
385280,"2017-05-05 23:11:27.476164",2424514,3365607,2,"",2,"ReportReason_2"
385565,"2017-05-06 14:55:15.989615",440038,3365607,6,"He attempted to build ""rapport"" or ""trust"" with them and then asked if he could wire me money to purchase him iTunes gift cards.  ",6,"ReportReason_6"
385600,"2017-05-06 16:22:58.83971",3152578,3365607,2,"",2,"ReportReason_2"
385602,"2017-05-06 16:34:45.619374",3162152,3365607,2,"",2,"ReportReason_2"
385649,"2017-05-06 19:45:59.276399",2180477,3365607,2,"",2,"ReportReason_2"
386162,"2017-05-07 20:22:16.743346",3347161,3062730,6,"Trying to get me to download another app",6,"ReportReason_6"
353001,"2017-02-11 09:50:18.014031",672616,3120896,2,"",2,"ReportReason_2"
313084,"2016-11-15 17:33:17.482345",2825237,2344505,6,"repetitive",6,"ReportReason_6"
347442,"2017-01-29 04:21:00.437715",308808,3082496,6,"solicitation",6,"ReportReason_6"
146753,"2016-04-03 20:31:45.034821",941393,2081493,4,"",4,"ReportReason_4"
327560,"2016-12-15 20:59:18.810042",2219477,2948006,2,"",2,"ReportReason_2"
265458,"2016-09-12 18:13:44.73635",2225293,2095567,6,"too old to like my profile",6,"ReportReason_6"
262092,"2016-09-07 20:47:17.40283",2566687,2457801,6,"",6,"ReportReason_6"
313091,"2016-11-15 17:35:45.61787",2825237,506956,6,"repetitive",6,"ReportReason_6"
325518,"2016-12-10 07:22:50.22256",260603,2930525,2,"",2,"ReportReason_2"
325510,"2016-12-10 06:55:22.709284",2767460,2930525,2,"",2,"ReportReason_2"
341094,"2017-01-13 19:11:31.093429",2919245,3038566,1,"",1,"ReportReason_1"
341096,"2017-01-13 19:11:57.993436",2919245,3038566,3,"",3,"ReportReason_3"
341203,"2017-01-14 01:42:44.386992",2720642,3038566,2,"",2,"ReportReason_2"
341256,"2017-01-14 03:30:09.588964",2967312,3038566,3,"",3,"ReportReason_3"
302163,"2016-10-25 02:57:21.093058",2108311,2744686,3,"",3,"ReportReason_3"
313092,"2016-11-15 17:35:59.425791",2825237,2415081,6,"repetitive",6,"ReportReason_6"
328540,"2016-12-19 01:08:45.334801",2249008,2957353,4,"",4,"ReportReason_4"
383637,"2017-05-01 20:39:08.785833",3268920,3345047,2,"",2,"ReportReason_2"
318881,"2016-11-26 17:34:19.272614",816321,2887250,4,"",4,"ReportReason_4"
336241,"2017-01-04 11:29:17.205545",959611,3008195,2,"",2,"ReportReason_2"
341753,"2017-01-15 04:18:54.765147",294531,471879,2,"",2,"ReportReason_2"
182484,"2016-05-12 16:40:34.118394",2251716,2165941,2,"",2,"ReportReason_2"
304181,"2016-10-29 02:39:52.300824",648876,2682300,2,"",2,"ReportReason_2"
338900,"2017-01-09 03:06:20.302639",821774,3023884,4,"",4,"ReportReason_4"
338923,"2017-01-09 04:00:22.500023",2856903,3023884,4,"",4,"ReportReason_4"
338931,"2017-01-09 04:22:32.831439",742177,3023884,4,"",4,"ReportReason_4"
364840,"2017-03-22 17:20:17.370739",2394216,3220982,6,"this user is not 27",6,"ReportReason_6"
371858,"2017-04-12 10:27:09.978454",3291671,3151926,6,"",6,"ReportReason_6"
313386,"2016-11-16 08:17:25.054727",2825237,2437065,6,"repetitive",6,"ReportReason_6"
272159,"2016-09-21 17:52:03.791501",139736,2163155,6,"Using a fake photo. The profile picture is not him at all.",6,"ReportReason_6"
348393,"2017-01-31 14:42:44.036272",2997302,2519262,2,"",2,"ReportReason_2"
355121,"2017-02-17 02:30:58.355417",93760,3136764,4,"",4,"ReportReason_4"
355136,"2017-02-17 03:22:17.995412",3066932,3136764,4,"",4,"ReportReason_4"
355146,"2017-02-17 03:58:58.079428",2388437,3136764,4,"",4,"ReportReason_4"
355158,"2017-02-17 04:22:01.879708",866886,3136764,4,"",4,"ReportReason_4"
355162,"2017-02-17 04:43:17.174495",145890,3136764,4,"",4,"ReportReason_4"
317243,"2016-11-22 19:57:28.354328",2620611,2872974,2,"",2,"ReportReason_2"
318096,"2016-11-24 22:04:11.29967",2879544,2872974,2,"",2,"ReportReason_2"
326056,"2016-12-11 17:27:31.947053",490597,2872974,6,"Seems I'm homeland sent me an email that he has been arrested for fraud. I am not sure the emails from home office uk. Are real. I can forward them to you.",6,"ReportReason_6"
318731,"2016-11-26 07:16:18.461643",816321,2872974,6,"",6,"ReportReason_6"
